"","Id","Distance","Area","ScaleLength","Lat","Lon","COOP.","CRN","Station","State","Grid","AP...WWTP","Environs","Tmean.trend","Tmax.trend","Tmin.trend"
"1",1,0,0.0306,0.174928556845359,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"2",1,1,0.3267,0.571576766497729,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"3",1,2,0.3663,0.60522723005496,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"4",1,3,0.8739,0.934826187052973,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"5",1,4,1.0674,1.03315052146335,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"6",1,5,2.9043,1.70420069240685,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"7",1,6,2.4831,1.57578551840027,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"8",1,7,1.5831,1.25821301853065,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"9",1,8,1.9791,1.4068048905232,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"10",1,9,0.9225,0.960468635614927,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"11",1,10,0.2475,0.49749371855331,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"12",1,11,0.261,0.510881590977792,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"13",1,12,0.1908,0.436806593356831,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"14",1,13,0.1998,0.44698993277254,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"15",1,14,0.2106,0.458911756223351,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"16",1,15,1.0413,1.0204410811017,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"17",1,16,0.7236,0.850646812725469,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"18",1,17,0.1998,0.44698993277254,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"19",1,18,0.1935,0.439886348958455,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"20",1,19,0.4464,0.668131723539603,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"21",1,20,0.2133,0.46184412955022,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"22",2,0,0.0918,0.302985148150862,30.54667,-87.88083,12813,"4","FAIRHOPE","AL",5,"x","S",0.280665541,-0.23813164,0.121230823
"23",2,1,0.8388,0.915860251348425,30.54667,-87.88083,12813,"4","FAIRHOPE","AL",5,"x","S",0.280665541,-0.23813164,0.121230823
