"","Id","Distance","Area","ScaleLength","WBAN","LONGITUDE","LATITUDE","NETWORK","OPERATION","STATUS"
"1",1,0,0.1557,0.394588393138977,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"2",1,1,0.3186,0.564446631666803,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"3",1,2,0.3087,0.555607775323564,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"4",1,3,0.3177,0.563648826841678,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"5",1,4,0.3105,0.557225268630201,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"6",1,5,0.3978,0.630713881248859,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"7",1,6,0.3933,0.627136348811006,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"8",1,7,0.3717,0.609672042987047,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"9",1,8,1.7235,1.31282138922246,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"10",1,9,3.1995,1.78871462229166,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"11",1,10,4.1661,2.04110264318089,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"12",1,11,3.4488,1.85709450486506,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"13",1,12,6.0354,2.45670511050879,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"14",1,13,7.1784,2.67925362741193,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"15",1,14,6.2118,2.49234829026763,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"16",1,15,3.9501,1.98748584900623,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"17",1,16,7.1379,2.67168486165566,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"18",1,17,15.8067,3.97576407750762,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"19",1,18,20.7279,4.55279035317903,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"20",1,19,25.4565,5.04544348893137,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"21",1,20,13.8636,3.72338555618405,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"22",2,0,0.0576,0.24,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"23",2,1,0.1872,0.432666153055679,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"24",2,2,0.1737,0.416773319683494,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"25",2,3,0.1827,0.42743420546325,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"26",2,4,0.2151,0.463788745012209,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"27",2,5,0.234,0.483735464897913,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"28",2,6,0.2286,0.478121323515277,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"29",2,7,0.4707,0.686075797561756,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"30",2,8,0.3087,0.555607775323564,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"31",2,9,0.4788,0.691953755680248,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"32",2,10,0.3987,0.631426955395476,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"33",2,11,0.7722,0.878749110952609,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"34",2,12,0.5274,0.726223106214612,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"35",2,13,0.4545,0.674166151627327,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"36",2,14,0.5472,0.739729680356277,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"37",2,15,1.0287,1.01424849026262,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"38",2,16,0.8226,0.906972987469858,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"39",2,17,1.3986,1.18262420066562,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"40",2,18,0.9819,0.990908673894825,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"41",2,19,0.8541,0.924175308044962,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"42",2,20,0.3303,0.574717321820041,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"43",3,2,0.0882,0.29698484809835,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"44",3,3,0.2619,0.511761663276959,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"45",3,4,0.2214,0.470531614240744,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"46",3,5,0.1665,0.408044115262063,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"47",3,6,0.1359,0.368646171823335,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"48",3,7,0.1602,0.40024992192379,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"49",3,8,0.2907,0.539166022668343,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"50",3,9,1.4409,1.20037494142455,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"51",3,10,1.3509,1.16228223766863,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"52",3,11,0.9495,0.974422906134703,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"53",3,12,0.9846,0.992270124512474,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"54",3,13,1.3392,1.15723809131915,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"55",3,14,0.8937,0.945357075395324,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"56",3,15,0.8631,0.929031754032121,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
